=== Attention Sweep Job Started ===
Node: c0904a-s15.ufhpc
MODEL: meta-llama/Llama-3.2-1B
--------------------------------------------------------
Running Attention Sweep: Model=meta-llama/Llama-3.2-1B, Attn=eager, Dtype=bfloat16
hf ({'pretrained': 'meta-llama/Llama-3.2-1B', 'dtype': 'bfloat16', 'parallelize': True, 'attn_implementation': 'eager'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.2998|±  |0.0042|
|                                              |       |none            |      |acc_norm   |↑  |0.2998|±  |0.0042|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.2899|±  |0.0350|
|                                              |       |none            |     0|acc_norm   |↑  |0.2899|±  |0.0350|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.2568|±  |0.0360|
|                                              |       |none            |     0|acc_norm   |↑  |0.2568|±  |0.0360|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.2744|±  |0.0349|
|                                              |       |none            |     0|acc_norm   |↑  |0.2744|±  |0.0349|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.2750|±  |0.0354|
|                                              |       |none            |     0|acc_norm   |↑  |0.2750|±  |0.0354|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.2182|±  |0.0323|
|                                              |       |none            |     0|acc_norm   |↑  |0.2182|±  |0.0323|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.2967|±  |0.0317|
|                                              |       |none            |     0|acc_norm   |↑  |0.2967|±  |0.0317|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.2313|±  |0.0334|
|                                              |       |none            |     0|acc_norm   |↑  |0.2313|±  |0.0334|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.3511|±  |0.0419|
|                                              |       |none            |     0|acc_norm   |↑  |0.3511|±  |0.0419|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.2574|±  |0.0376|
|                                              |       |none            |     0|acc_norm   |↑  |0.2574|±  |0.0376|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.3364|±  |0.0459|
|                                              |       |none            |     0|acc_norm   |↑  |0.3364|±  |0.0459|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.2755|±  |0.0249|
|                                              |       |none            |     0|acc_norm   |↑  |0.2755|±  |0.0249|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.2745|±  |0.0313|
|                                              |       |none            |     0|acc_norm   |↑  |0.2745|±  |0.0313|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.2626|±  |0.0330|
|                                              |       |none            |     0|acc_norm   |↑  |0.2626|±  |0.0330|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.3376|±  |0.0308|
|                                              |       |none            |     0|acc_norm   |↑  |0.3376|±  |0.0308|
| - cmmlu_college_actuarial_science            |      1|none            |     0|acc        |↑  |0.2830|±  |0.0440|
|                                              |       |none            |     0|acc_norm   |↑  |0.2830|±  |0.0440|
| - cmmlu_college_education                    |      1|none            |     0|acc        |↑  |0.3832|±  |0.0472|
|                                              |       |none            |     0|acc_norm   |↑  |0.3832|±  |0.0472|
| - cmmlu_college_engineering_hydrology        |      1|none            |     0|acc        |↑  |0.2547|±  |0.0425|
|                                              |       |none            |     0|acc_norm   |↑  |0.2547|±  |0.0425|
| - cmmlu_college_law                          |      1|none            |     0|acc        |↑  |0.2593|±  |0.0424|
|                                              |       |none            |     0|acc_norm   |↑  |0.2593|±  |0.0424|
| - cmmlu_college_mathematics                  |      1|none            |     0|acc        |↑  |0.2476|±  |0.0423|
|                                              |       |none            |     0|acc_norm   |↑  |0.2476|±  |0.0423|
| - cmmlu_college_medical_statistics           |      1|none            |     0|acc        |↑  |0.3302|±  |0.0459|
|                                              |       |none            |     0|acc_norm   |↑  |0.3302|±  |0.0459|
| - cmmlu_college_medicine                     |      1|none            |     0|acc        |↑  |0.3077|±  |0.0280|
|                                              |       |none            |     0|acc_norm   |↑  |0.3077|±  |0.0280|
| - cmmlu_computer_science                     |      1|none            |     0|acc        |↑  |0.3284|±  |0.0330|
|                                              |       |none            |     0|acc_norm   |↑  |0.3284|±  |0.0330|
